,namePlayer,value
609,Dillon Brooks,11400000.0
610,Dillon Brooks,12200000.0
611,Dillon Brooks,11400000.0
612,Dion Waiters,12650000.0
613,Gorgui Dieng,16587688.0
614,Grayson Allen,2545320.0
615,Grayson Allen,4054695.0
616,Grayson Allen,5842815.0
617,Ja Morant,9166800.0
618,Ja Morant,9603360.0
619,Ja Morant,12119440.0
620,Ja Morant,15815869.0
621,Jaren Jackson Jr,7257360.0
622,Jaren Jackson Jr,9180560.0
623,Jaren Jackson Jr,12109159.0
624,John Konchar,2100000.0
625,John Konchar,2200000.0
626,John Konchar,2300000.0
627,John Konchar,2400000.0
628,Jonas Valanciunas,15000000.0
629,Jonas Valanciunas,14000000.0
630,Jontay Porter,1900000.0
631,Jontay Porter,1950000.0
632,Jontay Porter,2000000.0
633,Justise Winslow,13000000.0
634,Justise Winslow,13000000.0
635,Kyle Anderson,9505100.0
636,Kyle Anderson,9937150.0
637,Mario Hezonja,1977011.0
638,Marko Guduric,2750000.0
639,Tim Frazier,110998.0
640,Tyus Jones,8817143.0
641,Tyus Jones,8376286.0
642,Xavier Tillman Sr,1300000.0
643,Xavier Tillman Sr,1517981.0
644,Xavier Tillman Sr,1782621.0
645,Xavier Tillman Sr,1930681.0
646,AJ Hammons,350087.0
647,Andre Iguodala,15000000.0
648,Andre Iguodala,15000000.0
649,Bam Adebayo,5115492.0
650,Bam Adebayo,28103500.0
651,Bam Adebayo,30351780.0
652,Bam Adebayo,32600060.0
653,Bam Adebayo,34848340.0
654,Duncan Robinson,1663861.0
655,Duncan Robinson,4736102.0
656,Gabe Vincent,1669178.0
657,Goran Dragic,18000000.0
658,Goran Dragic,19440000.0
659,Jimmy Butler,34379100.0
660,Jimmy Butler,36016200.0
661,Jimmy Butler,37653300.0
662,Kendrick Nunn,1663861.0
663,Kendrick Nunn,4736102.0
664,KZ Okpala,1517981.0
665,KZ Okpala,1782621.0
666,KZ Okpala,2228276.0
667,Nemanja Bjelica,7150000.0
668,Precious Achiuwa,2582160.0
669,Precious Achiuwa,2711280.0
670,Precious Achiuwa,2840160.0
671,Precious Achiuwa,4379527.0
672,Precious Achiuwa,6275862.0
673,Ryan Anderson,5214583.0
674,Ryan Anderson,5214583.0
675,Trevor Ariza,12800000.0
676,Tyler Herro,3822240.0
677,Tyler Herro,4004280.0
678,Tyler Herro,5722116.0
679,Tyler Herro,7913686.0
680,Udonis Haslem,1620564.0
681,Victor Oladipo,21000000.0
682,Bobby Portis,3623000.0
683,Bobby Portis,3804150.0
684,Brook Lopez,12697675.0
685,Brook Lopez,13302325.0
686,Brook Lopez,13906976.0
687,Bryn Forbes,2337145.0
688,Bryn Forbes,2454002.0
689,Donte DiVencenzo,3044160.0
690,Donte DiVencenzo,4675830.0
691,Donte DiVencenzo,6602272.0
692,Giannis Antetokounmpo,27528088.0
693,Giannis Antetokounmpo,39344900.0
694,Giannis Antetokounmpo,42492492.0
695,Giannis Antetokounmpo,45640676.0
696,Giannis Antetokounmpo,48787676.0
697,Jeff Teague,510589.0
698,Jon Leuer,3169348.0
699,Jon Leuer,3169347.0
700,Jordan Nwora,898310.0
701,Jordan Nwora,1517981.0
702,Jordan Nwora,1919247.0
703,Jrue Holiday,25876111.0
704,Jrue Holiday,31051333.0
705,Jrue Holiday,33535440.0
706,Jrue Holiday,36019547.0
707,Jrue Holiday,38503654.0
708,Khris Middleton,33051724.0
709,Khris Middleton,35500000.0
710,Khris Middleton,37948276.0
711,Khris Middleton,40396552.0
712,Larry Sanders,1865546.0
713,Larry Sanders,1865547.0
714,Pat Connaughton,4938273.0
715,Pat Connaughton,5333334.0
716,Pat Connaughton,5728393.0
717,PJ Tucker,7969537.0
718,Rodions Kurucs,1780152.0
719,Rodions Kurucs,1861068.0
720,Sam Merrill,898310.0
721,Sam Merrill,1517981.0
722,Sam Merrill,1919247.0
723,Thanasis Antetokounmpo,1701593.0
724,Thanasis Antetokounmpo,2126991.0
725,Anthony Edwards,9757440.0
726,Anthony Edwards,10245480.0
727,Anthony Edwards,10733400.0
728,Anthony Edwards,13534817.0
729,Anthony Edwards,17595262.0
730,Cole Aldrich,685340.0
731,D'Angelo Russell,28649250.0
732,D'Angelo Russell,30013500.0
733,D'Angelo Russell,31377750.0
734,Ed Davis,5005350.0
735,Jaden McDaniels,1964760.0
736,Jaden McDaniels,2063280.0
737,Jaden McDaniels,2161440.0
738,Jaden McDaniels,3901399.0
739,Jaden McDaniels,5813085.0
740,Jake Layman,3761085.0
741,Jake Layman,3940184.0
742,Jarred Vanderbilt,1663861.0
743,Jarred Vanderbilt,2079826.0
744,Jarrett Culver,6104280.0
745,Jarrett Culver,6395160.0
746,Jarrett Culver,8109063.0
747,Jarrett Culver,10817490.0
748,Jaylen Nowell,1517981.0
749,Jaylen Nowell,1782621.0
750,Jaylen Nowell,1930681.0
751,Jordan McLaughlin,1669178.0
752,Josh Okogie,2651040.0
753,Josh Okogie,4087904.0
754,Josh Okogie,5857966.0
755,Juancho Hernangomez,6493000.0
756,Juancho Hernangomez,7012440.0
757,Juancho Hernangomez,7531880.0
758,KarlAnthony Towns,29467800.0
759,KarlAnthony Towns,31650600.0
760,KarlAnthony Towns,33833400.0
761,KarlAnthony Towns,36016200.0
762,Malik Beasley,13425895.0
763,Malik Beasley,14491964.0
764,Malik Beasley,15558035.0
765,Malik Beasley,16524106.0
766,Naz Reid,1517981.0
767,Naz Reid,1782621.0
768,Naz Reid,1930681.0
769,Ricky Rubio,17000000.0
770,Ricky Rubio,17800000.0
