,DISPLAY_FIRST_LAST,SCHOOL,COUNTRY,PTS,AST,REB,ALL_STAR_APPEARANCES,DRAFT_YEAR
2434,Jerry Lucas,Ohio State,USA,17.0,3.3,15.6,7.0,1962
2435,John Lucas,Maryland,USA,10.7,7.0,2.3,0.0,1976
2436,Kalin Lucas,Michigan State,USA,1.0,0.5,1.5,0.0,Undrafted
2437,Maurice Lucas,Marquette,USA,14.4,2.3,8.8,4.0,1974
2438,John Lucas III,Oklahoma State,USA,4.7,1.5,1.0,0.0,Undrafted
2439,Ted Luckenbill,Houston,USA,2.3,0.4,1.9,0.0,1961
2440,Tyronn Lue,Nebraska,USA,8.5,3.1,1.7,0.0,1998
2441,Jim Luisi,St. Francis (NY),USA,2.9,1.1,0.8,0.0,1951
2442,Al Lujack,Georgetown,USA,0.8,0.0,,0.0,Undrafted
2443,Phil Lumpkin,Miami (Ohio),USA,3.3,2.7,1.0,0.0,1974
2444,Ray Lumpp,New York University,USA,8.2,2.2,2.2,0.0,1948
2445,Timothe Luwawu-Cabarrot,Mega Basket,France,6.9,1.3,2.4,,2016
2446,Tyler Lydon,Syracuse,USA,0.9,0.2,0.7,0.0,2017
2447,Trey Lyles,Kentucky,Canada,5.0,0.6,3.8,,2015
2448,George Lynch,North Carolina,USA,6.6,1.4,5.0,0.0,1993
2449,Kevin Lynch,Minnesota,USA,3.3,1.1,1.3,0.0,1991
2450,Mike Lynn,UCLA,USA,2.6,0.6,1.4,0.0,1968
2451,Sheldon Mac,Miami,USA,3.0,0.5,1.1,0.0,2016
2452,Todd MacCulloch,Washington,Canada,6.1,0.5,4.0,0.0,1999
2453,Ronnie MacGilvray,St. John's,USA,1.3,1.8,1.5,0.0,1952
2454,Don MacLean,UCLA,USA,10.9,1.3,3.8,0.0,1992
2455,Mike Macaluso,Canisius,USA,1.6,0.1,0.8,0.0,1973
2456,Ed Macauley,St. Louis,USA,17.5,3.2,7.5,7.0,1949
2457,Scott Machado,Iona,USA,1.8,0.9,0.1,0.0,Undrafted
2458,Arvydas Macijauskas,Tau Ceramica,Lithuania,2.3,0.3,0.5,0.0,Undrafted
